Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
3	0	100	3215740961	74.2981,249.877,69.8297	-0.293568,-0.947246,0.128618	-0.395468,-0.0021495,-0.918478	203.935,245.147,368.324	109.659,251.316,132.144	79.7554,254.085,122.879	79.7554,254.085,122.879	30.082,258.758,112.68	2.36632,259.334,104.555	-16.4313,258.575,98.9916	86.438,265.833,112.756	46.6807,259.636,56.3189	30.5055,261.243,29.476	19.054,262.148,11.3831	8.2083,261.43,-4.07422	93.1107,264.152,106.331	62.8642,255.397,48.6336	52.4183,258.512,14.6131	46.2106,261.561,-10.2043	41.0976,262.526,-29.0751	102.399,258.276,101.029	83.1535,247.564,46.2775	74.0327,250.37,11.4859	69.759,252.328,-8.49648	66.5558,252.937,-25.2567	110.036,248.872,103.158	99.9289,238.741,50.4365	99.0915,241.969,25.7315	99.3451,244.397,6.67106	99.7815,244.845,-8.5109	
4	0	100	3215740961	-58.6601,269.211,67.7939	-0.049658,-0.998755,0.00618314	-0.431068,0.0158488,-0.902183	32.8377,338.047,380.572	-22.2879,274.63,131.692	-51.5635,268.204,122.239	-51.5635,268.204,122.239	-102.069,262.095,108.929	-128.563,256.721,97.9588	-146.008,252.135,89.8578	-48.1411,282.159,113.958	-89.4553,273.224,56.1966	-105.372,272.266,27.5675	-116.14,269.932,8.09732	-124.802,264.666,-8.01132	-41.2646,283.81,106.835	-72.4929,274.912,47.2283	-83.147,274.756,9.27626	-90.2296,273.546,-17.2946	-95.0984,270.647,-35.9712	-30.8868,280.779,100.257	-50.458,272.348,43.1628	-58.8569,274.457,6.11296	-63.4052,274.63,-14.9873	-66.6603,273.14,-31.6531	-20.8356,272.799,100.808	-31.296,267,45.6768	-31.9505,270.8,19.7564	-32.2554,272.859,-0.147783	-32.381,272.633,-15.3242	
1	0	100	3215750961	66.456,258.018,-54.4038	-0.110111,-0.98298,0.147299	-0.409021,-0.0902571,-0.908087	218.755,288.578,231.041	102.92,267.208,6.45155	71.5939,264.042,-1.42706	71.5939,264.042,-1.42706	22.9437,255.512,-14.9659	-3.27216,248.824,-22.8842	-21.3409,243.762,-27.5301	76.0879,276.61,-11.5873	37.0106,262.292,-66.7539	19.3364,259.41,-93.3835	7.59045,254.882,-110.607	-2.18355,248.378,-123.788	82.9989,276.155,-18.4858	53.6807,261.063,-75.119	42.3499,259.64,-110.489	34.6783,256.617,-135.588	29.0614,251.752,-153.063	93.4379,271.907,-24.358	75.3235,256.972,-78.3095	64.1136,255.207,-112.645	57.2095,252.497,-131.697	52.0868,248.483,-146.082	102.931,263.985,-22.6148	93.7056,251.337,-74.7822	93.5836,250.739,-99.5874	92.57,248.327,-118.136	91.5011,244.423,-131.285	
2	0	100	3215750961	-35.4612,244.821,-30.1169	-0.0973381,-0.991297,0.088629	-0.401468,-0.0423768,-0.914892	45.431,285.201,258.596	-4.04709,251.532,28.4382	-30.7887,247.872,19.5305	-30.7887,247.872,19.5305	-74.0599,238.697,6.40362	-96.5687,230.843,-2.62021	-111.704,224.241,-8.55509	-26.2358,259.557,10.9899	-62.3316,248.693,-41.7164	-74.87,243.223,-66.1208	-82.7895,237.34,-82.1407	-89.0811,230.145,-94.3243	-19.976,260.34,4.52949	-46.902,248.956,-49.5219	-54.6499,246.215,-81.0627	-59.3801,243.865,-103.488	-62.6396,240.358,-119.535	-10.8016,256.667,-0.99773	-27.242,245.424,-52.4497	-34.1749,243.302,-83.5607	-38.1409,241.486,-101.187	-40.9382,238.582,-115.059	-2.36345,249.056,0.321843	-10.5112,239.969,-49.2707	-10.7958,239.923,-71.0849	-10.7967,239.381,-88.0119	-10.5994,237.301,-100.915	
3	0	100	3215750961	74.2812,249.866,69.8359	-0.293596,-0.947244,0.128566	-0.395461,-0.00208985,-0.918481	204,245.082,368.298	109.645,251.299,132.15	79.7378,254.071,122.887	79.7378,254.071,122.887	30.063,258.755,112.691	2.34529,259.339,104.57	-16.4569,258.589,99.0098	86.4221,265.818,112.763	46.6649,259.626,56.3256	30.4872,261.228,29.4827	19.0343,262.128,11.3909	8.18802,261.406,-4.06475	93.0948,264.138,106.339	62.8484,255.388,48.6401	52.3992,258.491,14.6183	46.186,261.512,-10.1978	41.0678,262.458,-29.0617	102.382,258.263,101.036	83.1364,247.554,46.2837	74.0161,250.357,11.4912	69.7411,252.309,-8.49164	66.5341,252.908,-25.2511	110.019,248.857,103.164	99.9116,238.729,50.4414	99.074,241.957,25.7364	99.3252,244.383,6.67528	99.7582,244.827,-8.50649	
4	0	100	3215750961	-58.691,269.224,67.8078	-0.05008,-0.998725,0.00680347	-0.431056,0.0154695,-0.902194	32.9408,338.103,380.558	-22.3121,274.662,131.704	-51.5945,268.249,122.255	-51.5945,268.249,122.255	-102.102,262.137,108.948	-128.595,256.757,97.9821	-146.039,252.165,89.8887	-48.1645,282.195,113.966	-89.4833,273.241,56.2082	-105.408,272.285,27.5802	-116.184,269.955,8.10979	-124.858,264.696,-7.9997	-41.2881,283.841,106.842	-72.5207,274.918,47.2393	-83.1745,274.765,9.27979	-90.2573,273.561,-17.2969	-95.1274,270.671,-35.9774	-30.9118,280.801,100.265	-50.4868,272.342,43.174	-58.8726,274.449,6.11848	-63.4103,274.627,-14.9858	-66.6594,273.144,-31.6543	-20.8643,272.815,100.817	-31.3273,266.986,45.6887	-31.9772,270.802,19.7721	-32.2721,272.872,-0.131054	-32.3894,272.663,-15.3094	
1	0	100	3215760961	66.4376,257.989,-54.3969	-0.110132,-0.982943,0.147508	-0.409085,-0.0904307,-0.908038	218.885,288.447,230.984	102.911,267.184,6.4528	71.5793,264.025,-1.42108	71.5793,264.025,-1.42108	22.9255,255.503,-14.9584	-3.29227,248.819,-22.8753	-21.3635,243.76,-27.5209	76.0735,276.589,-11.5854	36.9916,262.261,-66.7468	19.3167,259.377,-93.3764	7.57057,254.84,-110.597	-2.20226,248.323,-123.771	82.9834,276.132,-18.484	53.6606,261.03,-75.1125	42.3459,259.622,-110.482	34.6863,256.617,-135.582	29.0749,251.76,-153.058	93.4217,271.883,-24.3558	75.3031,256.937,-78.3034	64.1127,255.172,-112.639	57.2197,252.462,-131.692	52.1031,248.445,-146.076	102.915,263.962,-22.6101	93.6854,251.303,-74.7747	93.5648,250.71,-99.5837	92.554,248.3,-118.134	91.4866,244.396,-131.284	
2	0	100	3215760961	-35.4688,244.813,-30.0796	-0.0978842,-0.991206,0.0890747	-0.40141,-0.0425774,-0.914909	45.4888,285.191,258.626	-4.05325,251.531,28.4759	-30.7988,247.885,19.5675	-30.7988,247.885,19.5675	-74.0748,238.691,6.43289	-96.5895,230.828,-2.59864	-111.732,224.219,-8.54088	-26.2381,259.563,11.0214	-62.3358,248.694,-41.6841	-74.8732,243.215,-66.0873	-82.7946,237.338,-82.1056	-89.0918,230.163,-94.2901	-19.9785,260.341,4.5627	-46.9064,248.947,-49.4868	-54.6536,246.197,-81.0284	-59.382,243.859,-103.454	-62.6386,240.383,-119.507	-10.8055,256.66,-0.963076	-27.2477,245.402,-52.4123	-34.1814,243.274,-83.5238	-38.1478,241.47,-101.151	-40.9436,238.578,-115.027	-2.37044,249.043,0.360251	-10.5188,239.938,-49.2298	-10.8138,239.873,-71.0437	-10.8221,239.331,-87.9701	-10.6244,237.26,-100.877	
3	0	100	3215760961	74.263,249.853,69.8426	-0.293612,-0.947246,0.128516	-0.395455,-0.00203673,-0.918484	204.06,245.018,368.274	109.63,251.281,132.155	79.7188,254.055,122.894	79.7188,254.055,122.894	30.0427,258.749,112.702	2.32292,259.341,104.584	-16.4839,258.6,99.0281	86.4046,265.802,112.771	46.6475,259.613,56.3329	30.4675,261.211,29.4902	19.0133,262.107,11.3993	8.1664,261.382,-4.05482	93.0775,264.124,106.346	62.8312,255.377,48.647	52.3785,258.469,14.6241	46.1595,261.459,-10.1907	41.0358,262.385,-29.0472	102.363,258.248,101.043	83.118,247.543,46.2904	73.9978,250.343,11.4972	69.7214,252.287,-8.48604	66.5102,252.874,-25.2446	110,248.841,103.17	99.8932,238.716,50.4468	99.0552,241.944,25.7419	99.3039,244.368,6.68011	99.7333,244.807,-8.50139	
4	0	100	3215760961	-58.7268,269.244,67.8254	-0.050563,-0.99869,0.00753626	-0.43103,0.0150141,-0.902212	33.0505,338.16,380.55	-22.3411,274.706,131.72	-51.631,268.309,122.276	-51.631,268.309,122.276	-102.14,262.191,108.971	-128.633,256.803,98.01	-146.074,252.204,89.9254	-48.1922,282.243,113.977	-89.5156,273.266,56.2226	-105.448,272.312,27.5951	-116.235,269.987,8.12384	-124.922,264.734,-7.9869	-41.3158,283.884,106.852	-72.5527,274.933,47.2531	-83.2058,274.782,9.28441	-90.2887,273.585,-17.2998	-95.1602,270.705,-35.985	-30.9412,280.833,100.276	-50.5198,272.341,43.1884	-58.8895,274.446,6.12539	-63.4142,274.629,-14.9843	-66.6559,273.154,-31.6561	-20.8981,272.842,100.831	-31.3631,266.977,45.7043	-32.0072,270.812,19.7917	-32.29,272.898,-0.110622	-32.3973,272.709,-15.2916	
