Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
3	11002	30.591955	11653785906	85.634865,203.140274,48.559986	-0.310270,-0.949703,0.042385	-0.010696,-0.041095,-0.999098	126.145554,223.257126,358.957947	95.279175,207.748138,116.788689	70.155922,208.961273,97.576477	70.155922,208.961273,97.576477	38.006966,212.984161,62.431156	22.571758,211.396240,39.956928	13.253949,208.454193,24.417572	80.160667,219.938034,90.618912	65.877121,211.313293,26.086922	58.226418,211.508698,-4.040178	51.759075,208.336548,-24.242863	45.550171,202.592575,-39.583199	88.575966,218.610794,87.396339	83.224548,207.717377,25.362526	81.944824,204.169556,-10.253638	79.987556,198.136032,-34.399681	77.523827,191.500519,-49.659409	99.066193,212.891556,86.246201	102.403191,200.469971,30.970936	108.878700,198.973221,-3.211543	112.497993,196.349716,-22.835903	114.383705,191.989731,-38.167709	105.247856,203.815262,91.300133	115.933647,192.232178,41.184849	129.277328,191.417465,21.660696	139.773254,189.300415,6.881017	146.302322,186.080902,-4.873343	
4	9926	29.877205	11653795098	-99.233414,223.809097,47.617725	-0.063291,-0.997036,0.043753	0.018907,-0.045031,-0.998807	-110.306404,263.364655,374.400055	-93.560104,231.519623,119.516808	-117.250519,226.239258,98.462425	-117.250519,226.239258,98.462425	-148.014069,219.199188,62.223927	-161.398651,213.539001,40.224472	-168.875427,209.505386,25.672276	-110.080589,239.257858,91.879082	-121.067047,226.531662,23.784742	-129.522186,223.947342,-6.981231	-136.281723,220.517151,-28.187729	-141.913300,214.511642,-45.787708	-100.908295,240.698578,88.448723	-102.248947,228.022720,23.166695	-102.456711,225.730865,-14.579437	-102.881958,222.391144,-41.102753	-103.406487,217.748016,-58.948875	-88.850319,237.471588,87.483337	-81.073647,225.547714,29.485723	-73.973999,226.050095,-6.768771	-70.000069,224.887390,-27.269320	-67.318008,221.999466,-43.182747	-80.464096,229.790024,92.808228	-65.526337,220.671631,40.370136	-52.785007,220.949158,18.247690	-43.772400,218.284332,2.233431	-38.472561,214.778290,-8.835808	
1	7059	20.270956	11653822340	83.132469,216.827972,-78.015137	-0.142159,-0.982137,0.123276	0.003729,-0.125072,-0.992141	145.810074,272.783783,231.336319	92.607414,229.040619,-9.069709	65.972023,224.384445,-28.426897	65.972023,224.384445,-28.426897	31.837631,222.831772,-65.024536	15.737981,218.596039,-87.308533	6.525837,214.150375,-102.204315	74.032990,236.381653,-36.015800	61.644257,219.736115,-100.920952	51.929146,216.143692,-129.695496	43.873692,208.267776,-147.535294	36.985043,197.534973,-158.760757	83.106346,236.164185,-39.668182	80.093575,219.028641,-101.902122	77.618095,213.421829,-135.674759	73.419106,203.498642,-157.287201	69.411293,193.068588,-168.877991	94.990852,232.151093,-40.739883	100.946800,215.586960,-96.023315	107.279762,208.942032,-128.084030	109.373955,201.380402,-145.202179	109.593544,192.468643,-156.691055	103.051178,224.517242,-35.036171	116.221428,210.527573,-85.188446	128.888062,207.080170,-104.462997	137.282791,200.997498,-118.673798	141.648239,193.846146,-128.727448	
2	7733	30.572626	11653827645	-76.125443,209.720963,-58.490147	-0.005787,-0.996703,0.080930	0.054871,-0.081126,-0.995192	-109.187950,161.571274,242.329163	-73.902115,216.090805,9.003063	-94.785851,212.642471,-11.195089	-94.785851,212.642471,-11.195089	-121.732925,201.223068,-43.447807	-134.025253,192.992477,-62.387894	-140.853149,187.096542,-74.879631	-88.234985,225.192001,-17.395594	-95.702538,210.229843,-81.235184	-97.863289,201.478058,-107.993004	-99.539520,190.243774,-123.507721	-100.944016,177.827179,-132.614624	-79.647446,226.927902,-20.807184	-78.151352,212.658585,-81.723618	-72.961876,205.283966,-113.645836	-70.746490,195.300369,-134.398544	-69.916847,185.546570,-146.366196	-68.418549,224.588165,-21.467684	-58.634369,211.797592,-75.299904	-47.974640,208.696838,-105.960251	-42.780689,204.531143,-122.694168	-39.514256,198.628967,-134.894150	-60.564816,217.882385,-15.866394	-44.388718,208.326263,-64.368507	-32.652534,207.568939,-84.062668	-24.984062,204.514069,-99.201172	-20.522207,199.957397,-110.045860	
3	11005	30.087555	11653885615	85.430061,203.154953,49.010448	-0.312329,-0.949041,0.042094	-0.010443,-0.040878,-0.999110	125.970757,224.783264,359.339569	95.065460,207.793182,117.247238	69.955856,208.991486,98.020851	69.955856,208.991486,98.020851	37.764706,213.034470,62.896175	22.261955,211.514191,40.439831	12.902275,208.638519,24.902031	80.002029,219.964935,91.070793	65.720451,211.382538,26.525085	57.973957,211.610596,-3.590714	51.437931,208.470566,-23.785353	45.169586,202.750183,-39.119057	88.378265,218.599731,87.856056	83.024048,207.728699,25.811415	81.558746,204.239792,-9.839013	79.448029,198.302231,-34.007423	76.903183,191.722229,-49.312153	98.857452,212.871292,86.708588	102.186989,200.451904,31.425915	108.581932,198.924942,-2.800550	112.160469,196.328979,-22.438601	114.022850,192.010223,-37.784874	105.026558,203.786591,91.765701	115.705727,192.188980,41.646255	129.024536,191.411285,22.098970	139.553391,189.371674,7.306412	146.124680,186.197159,-4.477132	
4	9929	31.112263	11653891523	-99.306900,223.774170,47.931782	-0.066404,-0.996818,0.044088	0.018915,-0.045435,-0.998788	-111.590553,261.935394,374.780304	-93.670067,231.432068,119.827751	-117.317390,226.274673,98.783958	-117.317390,226.274673,98.783958	-147.993286,219.145081,62.511326	-161.380142,213.437943,40.519020	-168.871857,209.379028,25.971519	-110.110977,239.270615,92.179031	-121.126289,226.555878,24.091360	-129.634506,223.912704,-6.666243	-136.448608,220.449371,-27.831175	-142.141479,214.416824,-45.388237	-100.937515,240.689667,88.753914	-102.307877,227.996185,23.479820	-102.613358,225.716370,-14.268019	-103.104156,222.440796,-40.816822	-103.683098,217.851166,-58.724300	-88.885498,237.423523,87.794678	-81.137840,225.456085,29.805687	-74.058456,225.954300,-6.449565	-70.081352,224.827820,-26.956051	-67.402306,221.973724,-42.899467	-80.521912,229.698120,93.118729	-65.605698,220.515610,40.689041	-52.929039,220.799454,18.554035	-43.959221,218.221024,2.498716	-38.684608,214.787811,-8.653983	
1	7061	20.141663	11653921311	83.336494,216.558640,-77.681892	-0.144329,-0.981820,0.123287	0.004088,-0.125182,-0.992125	145.724655,273.794403,231.548813	92.786880,228.813324,-8.728210	66.162125,224.169739,-28.092466	66.162125,224.169739,-28.092466	31.965874,222.658005,-64.613815	15.889443,218.372177,-86.872833	6.732814,213.877045,-101.747322	74.251572,236.131821,-35.670078	61.866364,219.503387,-100.591560	52.050594,215.878448,-129.374771	43.901917,207.981583,-147.238312	36.925152,197.217621,-158.479370	83.334900,235.912079,-39.336346	80.324379,218.773865,-101.580231	77.861694,213.143906,-135.344177	73.650139,203.249802,-156.944427	69.608406,192.843170,-168.540955	95.211525,231.871674,-40.395679	101.167953,215.286575,-95.682365	107.565613,208.569031,-127.758339	109.687943,201.017166,-144.884644	109.899597,192.113251,-156.379715	103.248421,224.198761,-34.691875	116.422516,210.173676,-84.842308	129.084976,206.724457,-104.127251	137.456345,200.684265,-118.348671	141.800568,193.571198,-128.413925	
2	7736	30.479132	11653926073	-75.920837,209.383377,-58.135544	-0.006270,-0.996776,0.079994	0.053686,-0.080216,-0.995331	-109.686089,161.244919,242.656219	-73.655540,215.700653,9.372929	-94.519493,212.274994,-10.811407	-94.519493,212.274994,-10.811407	-121.497391,200.923233,-43.010849	-133.778244,192.710419,-61.941517	-140.564056,186.843323,-74.433784	-87.968826,224.820450,-17.003519	-95.519714,209.919708,-80.862892	-97.626686,201.090118,-107.605415	-99.262306,189.775574,-123.071556	-100.632805,177.307770,-132.096863	-79.386909,226.565277,-20.427349	-77.968422,212.349594,-81.372520	-72.766304,204.952881,-113.297058	-70.542595,194.961533,-134.072098	-69.703407,185.196777,-146.062759	-68.167671,224.216202,-21.097204	-58.450294,211.468094,-74.964676	-47.620335,208.313477,-105.609703	-42.319386,204.111160,-122.336075	-38.991726,198.185898,-134.535934	-60.317688,217.496109,-15.510016	-44.199001,207.974442,-64.050453	-32.445515,207.248062,-83.748444	-24.761559,204.244781,-98.892883	-20.290035,199.734222,-109.750000	
3	11007	30.442945	11653922728	85.732475,202.945724,49.206825	-0.313156,-0.948775,0.041937	-0.009885,-0.040900,-0.999114	126.283760,225.592346,359.458038	95.338120,207.618103,117.445450	70.234398,208.800415,98.203331	70.234398,208.800415,98.203331	38.023254,212.842636,63.090309	22.498093,211.335175,40.641426	13.132863,208.477402,25.108807	80.294640,219.757950,91.263847	66.044258,211.185776,26.710869	58.252869,211.381775,-3.400430	51.675270,208.179184,-23.579601	45.376644,202.382690,-38.874115	88.668991,218.389709,88.053032	83.342415,207.521454,26.006441	81.766571,204.030945,-9.661037	79.581573,198.080124,-33.834969	76.980499,191.478424,-49.131466	99.144569,212.652893,86.911354	102.496307,200.229172,31.631830	108.840317,198.649307,-2.625961	112.391739,196.029831,-22.277328	114.224731,191.687729,-37.632252	105.304184,203.564621,91.973869	116.003075,191.956619,41.861820	129.310135,191.115952,22.296988	139.833115,189.012177,7.504258	146.392349,185.787811,-4.275769	
4	9931	30.576988	11653974386	-99.110832,223.428787,48.077435	-0.067499,-0.996728,0.044457	0.019308,-0.045856,-0.998761	-112.003220,260.735931,374.983368	-93.517059,231.070831,119.974503	-117.141273,225.968323,98.926704	-117.141273,225.968323,98.926704	-147.793381,218.882675,62.653416	-161.216492,213.240326,40.680504	-168.783844,209.240570,26.149601	-109.914734,238.952774,92.310234	-120.913490,226.222794,24.223347	-129.453751,223.575760,-6.520185	-136.298859,220.115799,-27.669813	-142.016327,214.080917,-45.213314	-100.743362,240.364853,88.890594	-102.098480,227.646851,23.621529	-102.452309,225.368393,-14.119457	-102.980759,222.096985,-40.666332	-103.588005,217.503738,-58.573704	-88.693718,237.081177,87.938393	-80.933350,225.082275,29.958118	-73.841736,225.580643,-6.282683	-69.858490,224.461212,-26.780348	-67.183601,221.622864,-42.727699	-80.339180,229.352814,93.271309	-65.409775,220.133301,40.852367	-52.762333,220.433182,18.721624	-43.811378,217.892288,2.646461	-38.548592,214.487366,-8.535434	
