Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
1	887	0.0252948	3215402245	67.0112,260.712,-55.3818	-0.11005,-0.982345,0.151285	-0.403053,-0.0950261,-0.91023	209.725,296.091,234.623	102.801,270.365,5.84551	71.8503,267.093,-2.54504	71.8503,267.093,-2.54504	23.5558,258.238,-15.9497	-2.30582,251.037,-23.9452	-20.0488,245.387,-28.8049	76.2687,279.376,-12.5517	37.5278,264.741,-67.9487	20.23,261.609,-94.7107	8.61047,256.69,-111.938	-0.991866,249.654,-124.975	83.3423,279.174,-19.4628	54.3795,263.767,-76.261	43.5993,262.641,-111.282	36.1943,259.654,-136.37	30.6953,254.583,-153.782	93.8337,274.818,-25.176	76.0672,259.592,-79.2187	65.529,257.715,-113.522	58.8771,254.86,-132.501	53.8494,250.563,-146.59	103.239,266.907,-23.2359	94.355,253.988,-75.4467	94.4285,253.617,-100.275	93.6598,251.4,-118.78	92.5537,247.395,-131.909	
3	901	0.025295	3215407539	74.4061,249.694,69.8403	-0.277068,-0.951537,0.133461	-0.396765,-0.0132027,-0.917825	198.481,248.584,370.194	109.572,252.026,132.129	79.8166,254.22,122.752	79.8166,254.22,122.752	30.2842,257.974,112.179	2.77958,257.903,103.726	-15.7499,256.62,97.8971	86.2283,266.061,112.613	46.5331,258.928,56.3185	30.6274,261.291,29.555	19.3817,263.283,11.3273	8.64563,263.417,-4.35854	92.9456,264.441,106.216	62.7933,254.91,48.6586	52.5359,258.299,14.8088	46.5322,261.882,-10.0475	41.6173,263.277,-29.1498	102.368,258.759,100.92	83.2442,247.474,46.2988	74.0002,250.1,11.7384	69.6864,252.048,-8.09974	66.5483,252.694,-24.7301	110.227,249.423,103.202	100.224,238.885,50.5902	99.4191,242.041,25.976	99.7377,244.443,7.02596	100.234,244.906,-8.03095	
2	888	12.7188	3215457069	-35.1796,244.747,-30.4557	-0.0980824,-0.991394,0.0867084	-0.398325,-0.0407362,-0.916339	43.133,286.65,258.776	-4.01175,251.432,28.2548	-30.6608,247.74,19.1923	-30.6608,247.74,19.1923	-73.8655,238.573,6.07622	-96.1985,230.496,-2.98704	-111.143,223.809,-9.00577	-26.0538,259.414,10.7401	-61.9876,248.645,-42.1303	-74.4254,243.157,-66.5129	-82.3263,237.476,-82.4595	-88.6549,230.528,-94.6344	-19.7793,260.195,4.28792	-46.535,248.904,-49.8974	-54.2802,246.262,-81.403	-58.9427,244.273,-103.868	-62.1412,241.024,-120.032	-10.6167,256.528,-1.23103	-26.8914,245.371,-52.7794	-33.8099,243.169,-83.9371	-37.7184,241.307,-101.578	-40.4107,238.408,-115.482	-2.19969,248.959,0.113611	-10.1836,239.951,-49.5425	-10.4153,239.811,-71.418	-10.3635,239.209,-88.3469	-10.1498,237.07,-101.247	
4	897	12.4461	3215462224	-58.455,269.902,67.9763	-0.0494658,-0.998771,0.00310371	-0.429371,0.0184594,-0.90294	29.7555,335.955,382.23	-22.3022,275.065,132.014	-51.4411,268.778,122.388	-51.4411,268.778,122.388	-101.906,262.513,108.943	-128.319,257.107,97.853	-145.774,252.514,89.6325	-48.0184,282.666,114.204	-89.229,273.894,56.3281	-105.096,272.943,27.6189	-115.836,270.71,8.09275	-124.48,265.533,-8.07471	-41.1428,284.423,107.084	-72.2623,275.696,47.3825	-82.9165,275.535,9.43189	-90.0002,274.382,-17.1525	-94.8748,271.518,-35.8689	-30.7546,281.391,100.526	-50.2198,273.124,43.3596	-58.6351,275.002,6.20281	-63.1802,274.993,-14.948	-66.4343,273.365,-31.6385	-20.6991,273.415,101.129	-31.0563,267.777,45.9522	-31.6637,271.412,19.8859	-31.9431,273.321,-0.0769421	-32.0654,272.988,-15.2417	
1	888	10.7257	3215500684	66.8487,259.691,-55.0682	-0.108624,-0.982621,0.150524	-0.405409,-0.0944672,-0.909241	213.057,293.775,233.214	102.884,269.268,5.99519	71.8002,265.99,-2.17311	71.8002,265.99,-2.17311	23.357,257.066,-15.5262	-2.69815,249.917,-23.4077	-20.6103,244.351,-28.1296	76.2228,278.365,-12.2676	37.3678,263.756,-67.5471	19.8614,260.63,-94.1781	8.16539,255.798,-111.335	-1.50954,248.94,-124.384	83.2389,278.084,-19.1739	54.1539,262.716,-75.881	43.1272,261.493,-111.011	35.6514,258.579,-136.092	30.1381,253.586,-153.533	93.7182,273.77,-24.9479	75.8311,258.592,-78.9309	65.0016,256.743,-113.212	58.2709,253.944,-132.199	53.2436,249.772,-146.394	103.176,265.874,-23.0882	94.1699,253.008,-75.2616	94.1956,252.569,-100.065	93.3258,250.265,-118.575	92.2652,246.309,-131.689	
3	902	10.5332	3215505775	74.4441,249.856,69.8002	-0.288951,-0.948325,0.131097	-0.396173,-0.00621398,-0.918155	200.893,247.104,369.414	109.702,251.635,132.109	79.919,254.206,122.787	79.919,254.206,122.787	30.3137,258.423,112.424	2.69731,258.681,104.153	-15.9569,257.628,98.4733	86.4856,265.993,112.646	46.7315,259.477,56.2797	30.696,261.374,29.4717	19.3415,262.859,11.3165	8.52659,262.512,-4.26566	93.1725,264.282,106.234	62.9361,255.251,48.6069	52.5725,258.522,14.6598	46.4494,261.905,-10.1695	41.4184,263.172,-29.1641	102.526,258.46,100.939	83.2979,247.531,46.2533	74.117,250.294,11.5514	69.8261,252.305,-8.38554	66.6721,252.986,-25.1242	110.219,249.109,103.138	100.123,238.809,50.4717	99.2752,242.007,25.7842	99.5577,244.438,6.75567	100.034,244.913,-8.40465	
2	889	10.1652	3215555479	-35.2443,244.385,-30.3169	-0.0945729,-0.991658,0.0875813	-0.399818,-0.0427338,-0.915598	44.3592,286.254,258.515	-3.97062,251.196,28.303	-30.6625,247.414,19.3266	-30.6625,247.414,19.3266	-73.9061,238.163,6.2243	-96.283,230.098,-2.82879	-111.241,223.424,-8.82491	-26.1157,259.105,10.8233	-62.0942,248.181,-41.9565	-74.5545,242.81,-66.2934	-82.466,237.167,-82.2341	-88.799,230.243,-94.4166	-19.8466,259.914,4.37532	-46.6509,248.498,-49.7349	-54.4049,245.939,-81.2111	-59.0818,243.979,-103.639	-62.2919,240.732,-119.742	-10.6759,256.271,-1.15062	-26.9988,245.026,-52.6437	-33.9253,242.853,-83.7338	-37.8509,241.014,-101.345	-40.5703,238.153,-115.207	-2.22831,248.714,0.186183	-10.2673,239.647,-49.4315	-10.5281,239.613,-71.2332	-10.4994,239.069,-88.1421	-10.2988,236.953,-101.035	
4	898	10.1835	3215560025	-58.517,269.68,67.8703	-0.0486172,-0.998809,0.00411446	-0.430288,0.0172266,-0.902527	31.2471,336.803,381.495	-22.2577,274.962,131.841	-51.4578,268.591,122.302	-51.4578,268.591,122.302	-101.952,262.383,108.918	-128.405,256.975,97.8913	-145.856,252.362,89.7342	-48.0487,282.525,114.073	-89.3063,273.664,56.252	-105.174,272.68,27.5686	-115.91,270.313,8.06181	-124.546,264.977,-8.05881	-41.175,284.231,106.95	-72.3442,275.421,47.2929	-82.9865,275.262,9.33675	-90.0651,274.032,-17.2473	-94.9344,271.091,-35.932	-30.7885,281.217,100.38	-50.3022,272.88,43.246	-58.6991,274.912,6.14722	-63.243,275.043,-14.9803	-66.4989,273.508,-31.6553	-20.7275,273.251,100.954	-31.1343,267.552,45.797	-31.7692,271.346,19.8083	-32.0718,273.417,-0.125855	-32.2026,273.18,-15.3043	
1	889	10.2142	3215599125	66.6566,259.003,-54.7651	-0.108445,-0.982712,0.150056	-0.407023,-0.093821,-0.908587	215.586,291.678,232.266	102.882,268.488,6.19592	71.6926,265.244,-1.83385	71.6926,265.244,-1.83385	23.1253,256.34,-15.2032	-3.05364,249.236,-23.0618	-21.081,243.795,-27.7394	76.132,277.684,-11.9793	37.184,263.117,-67.1915	19.595,260.08,-93.7956	7.86936,255.354,-110.943	-1.84519,248.62,-124.006	83.1046,277.338,-18.8832	53.9226,262.012,-75.5407	42.8119,260.769,-110.754	35.3044,257.884,-135.843	29.7744,252.984,-153.312	93.567,273.05,-24.6943	75.5859,257.913,-78.6477	64.6345,256.08,-112.938	57.8635,253.306,-131.949	52.8201,249.186,-146.238	103.048,265.153,-22.8766	93.9501,252.325,-75.0349	93.8803,251.822,-99.8553	92.9093,249.44,-118.38	91.8415,245.501,-131.495	
3	903	10.1656	3215604241	74.3945,249.891,69.7909	-0.291877,-0.947645,0.129524	-0.395762,-0.00362388,-0.918346	202.566,246.166,368.816	109.707,251.464,132.106	79.8635,254.151,122.816	79.8635,254.151,122.816	30.2081,258.592,112.541	2.51901,259.026,104.361	-16.237,258.148,98.7589	86.4956,265.914,112.685	46.7382,259.602,56.2764	30.6169,261.323,29.4499	19.192,262.356,11.3323	8.35241,261.697,-4.15828	93.173,264.22,106.266	62.9287,255.366,48.596	52.5229,258.55,14.6031	46.3573,261.765,-10.2207	41.2821,262.833,-29.1519	102.491,258.36,100.966	83.2508,247.57,46.241	74.0986,250.351,11.48	69.8164,252.334,-8.48649	66.6425,252.992,-25.2397	110.15,248.984,103.123	100.044,238.792,50.4226	99.2012,242.008,25.7231	99.4701,244.444,6.67507	99.9295,244.913,-8.50176	
