Device ID	Frame ID	Frame Rate	Time Stamp	Palm Position.x,Palm Position.y,Palm Position.z	Palm Normal.x,Palm Normal.y,Palm Normal.z	Palm Direction.x,Palm Direction.y,Palm Direction.z	Arm Proximal.x,Arm Proximal.y,Arm Proximal.z	Arm Distal.x,Arm Distal.y,Arm Distal.z	Finger1_Meta.x,Finger1_Meta.y,Finger1_Meta.z	Finger1_Proxi.x,Finger1_Proxi.y,Finger1_Proxi.z	Finger1_Inter.x,Finger1_Inter.y,Finger1_Inter.z	Finger1_Dist.x,Finger1_Dist.y,Finger1_Dist.z	Finger1_End.x,Finger1_End.y,Finger1_End.z	Finger2_Meta.x,Finger2_Meta.y,Finger2_Meta.z	Finger2_Proxi.x,Finger2_Proxi.y,Finger2_Proxi.z	Finger2_Inter.x,Finger2_Inter.y,Finger2_Inter.z	Finger2_Dist.x,Finger2_Dist.y,Finger2_Dist.z	Finger2_End.x,Finger2_End.y,Finger2_End.z	Finger3_Meta.x,Finger3_Meta.y,Finger3_Meta.z	Finger3_Proxi.x,Finger3_Proxi.y,Finger3_Proxi.z	Finger3_Inter.x,Finger3_Inter.y,Finger3_Inter.z	Finger3_Dist.x,Finger3_Dist.y,Finger3_Dist.z	Finger3_End.x,Finger3_End.y,Finger3_End.z	Finger4_Meta.x,Finger4_Meta.y,Finger4_Meta.z	Finger4_Proxi.x,Finger4_Proxi.y,Finger4_Proxi.z	Finger4_Inter.x,Finger4_Inter.y,Finger4_Inter.z	Finger4_Dist.x,Finger4_Dist.y,Finger4_Dist.z	Finger4_End.x,Finger4_End.y,Finger4_End.z	Finger5_Meta.x,Finger5_Meta.y,Finger5_Meta.z	Finger5_Proxi.x,Finger5_Proxi.y,Finger5_Proxi.z	Finger5_Inter.x,Finger5_Inter.y,Finger5_Inter.z	Finger5_Dist.x,Finger5_Dist.y,Finger5_Dist.z	Finger5_End.x,Finger5_End.y,Finger5_End.z	
1	0	100	3215220961	67.0554,262.01,-55.5968	-0.115997,-0.980861,0.156384	-0.398592,-0.0982435,-0.911851	205.327,299.033,236.992	102.505,271.878,5.94579	71.7601,268.81,-2.88424	71.7601,268.81,-2.88424	23.6195,260.546,-16.3329	-1.95415,252.976,-24.6478	-18.9707,246.872,-29.9274	76.1844,280.774,-12.771	37.5919,265.987,-68.4044	20.617,262.76,-95.4995	9.23669,257.629,-112.738	-0.0783131,250.167,-125.758	83.3332,280.735,-19.6714	54.5418,265.116,-76.6508	45.0493,264.783,-111.481	38.9487,262.972,-136.613	34.2415,258.247,-154.114	93.8042,276.247,-25.2608	76.2173,260.768,-79.419	66.6529,258.024,-113.763	60.7489,254.502,-132.727	56.2537,249.434,-146.649	103.109,268.236,-23.0361	94.4244,255.032,-75.3235	94.4988,254.936,-100.265	94.0236,253.045,-118.848	93.147,249.12,-132.119	
2	0	100	3215220961	-35.3227,246.564,-30.2787	-0.105684,-0.991561,0.0750831	-0.390847,-0.0280086,-0.920029	39.4338,288.15,259.973	-4.64344,252.527,28.792	-31.1487,249.047,19.4114	-31.1487,249.047,19.4114	-74.0762,240.298,6.00084	-96.1401,232.157,-3.33197	-110.884,225.293,-9.68324	-26.3997,260.691,11.2362	-61.9765,250.743,-42.0725	-74.2274,244.999,-66.734	-82.038,239.16,-82.9111	-88.259,232.021,-95.1991	-20.0862,261.554,4.76088	-46.4736,251.034,-49.7921	-54.0414,247.963,-81.383	-58.6039,245.743,-103.945	-61.7298,242.255,-120.154	-10.9107,257.863,-0.738345	-26.8341,247.375,-52.5642	-33.4303,245.407,-84.0381	-37.1488,243.604,-101.833	-39.6919,240.649,-115.804	-2.55562,250.23,0.594901	-10.1859,241.812,-49.2451	-10.1255,241.438,-71.4997	-9.95292,240.394,-88.5023	-9.74436,237.815,-101.306	
3	0	100	3215220961	74.1393,251.24,70.44	-0.256748,-0.957364,0.132217	-0.398098,-0.0198703,-0.9171	191.205,252.504,372.802	109.031,254.206,132.684	79.41,255.886,123.17	79.41,255.886,123.17	30.3685,258.753,111.739	4.16673,257.639,102.267	-13.38,255.678,95.5973	85.504,267.549,113.144	45.9231,259.696,56.9961	30.399,263.034,30.1773	19.4981,266.038,11.5538	9.13255,267.458,-4.8441	92.3194,266.506,106.759	62.3127,256.46,49.3287	52.6116,260.09,15.5641	47.1781,263.906,-9.47694	42.9133,265.671,-28.9456	101.848,260.902,101.406	82.8909,249.338,46.8818	73.5965,251.728,12.4291	69.1677,253.274,-7.32784	65.9924,253.383,-23.6645	110.11,251.639,103.843	100.248,241.004,51.3104	100.408,244.564,26.7459	101.62,247.398,7.76326	102.349,248.204,-7.32985	
4	0	100	3215220961	-58.7944,271.549,68.5541	-0.046333,-0.998924,-0.00209601	-0.422605,0.0215028,-0.906059	24.3246,332.973,385.131	-23.2331,276.382,132.95	-52.1533,270.266,122.917	-52.1533,270.266,122.917	-102.356,263.458,109.208	-128.295,257.751,97.6678	-145.503,253.085,88.9733	-48.7375,284.034,114.934	-89.4925,275.413,56.6925	-104.881,274.391,27.5666	-115.249,272.282,7.87395	-123.665,267.293,-8.54145	-41.8317,286.008,107.853	-72.4799,277.471,47.8616	-82.8869,277.271,9.81554	-89.737,276.25,-16.9006	-94.4851,273.556,-35.9107	-31.3852,282.983,101.37	-50.3972,274.932,44.0045	-58.7673,276.613,6.70529	-63.2459,276.474,-14.5054	-66.4274,274.753,-31.2723	-21.3058,275.028,102.087	-31.2312,269.624,46.7934	-31.544,272.84,20.4755	-31.5815,273.97,0.391275	-31.6028,273.198,-14.7311	
1	0	100	3215230961	67.0573,262.065,-55.6059	-0.116248,-0.980798,0.156599	-0.398404,-0.0983791,-0.911919	205.142,299.157,237.092	102.493,271.942,5.95002	71.7563,268.882,-2.89854	71.7563,268.882,-2.89854	23.6222,260.643,-16.3491	-1.93933,253.058,-24.6774	-18.9253,246.935,-29.9747	76.1808,280.833,-12.7802	37.5946,266.04,-68.4236	20.6333,262.809,-95.5327	9.26308,257.669,-112.772	-0.0398083,250.189,-125.791	83.3328,280.801,-19.6802	54.5486,265.173,-76.6672	45.1104,264.873,-111.489	39.0648,263.112,-136.623	34.391,258.401,-154.128	93.803,276.307,-25.2644	76.2236,260.818,-79.4274	66.7003,258.037,-113.773	60.8278,254.487,-132.737	56.355,249.386,-146.651	103.104,268.292,-23.0277	94.4273,255.076,-75.3183	94.5018,254.992,-100.265	94.0389,253.114,-118.851	93.172,249.193,-132.128	
2	0	100	3215230961	-35.3253,246.589,-30.2745	-0.105727,-0.991569,0.0749271	-0.390736,-0.0278626,-0.920082	39.3894,288.17,259.989	-4.6532,252.544,28.8011	-31.1568,249.065,19.4162	-31.1568,249.065,19.4162	-74.0798,240.321,6.00054	-96.1392,232.177,-3.3373	-110.879,225.308,-9.69481	-26.4064,260.709,11.2447	-61.9772,250.77,-42.07	-74.2241,245.023,-66.7343	-82.0327,239.182,-82.9129	-88.2513,232.04,-95.2004	-20.0922,261.574,4.76913	-46.4734,251.063,-49.7889	-54.0376,247.987,-81.3797	-58.5982,245.764,-103.942	-61.7228,242.273,-120.15	-10.9163,257.883,-0.72972	-26.8338,247.403,-52.5593	-33.4232,245.441,-84.0361	-37.1379,243.64,-101.832	-39.6783,240.685,-115.803	-2.56173,250.249,0.603266	-10.1862,241.839,-49.2391	-10.1207,241.461,-71.4979	-9.94603,240.41,-88.5002	-9.73765,237.823,-101.301	
3	0	100	3215230961	74.1601,251.095,70.3903	-0.257766,-0.957059,0.132474	-0.398019,-0.0197316,-0.917142	191.686,252.256,372.624	109.07,254.041,132.637	79.4389,255.741,123.131	79.4389,255.741,123.131	30.3593,258.656,111.762	4.05113,257.613,102.367	-13.5733,255.696,95.7611	85.5508,267.423,113.096	45.9636,259.594,56.9395	30.4146,262.877,30.1284	19.4906,265.824,11.5347	9.09767,267.164,-4.80769	92.3596,266.336,106.711	62.3455,256.304,49.2737	52.6027,259.92,15.5077	47.127,263.729,-9.51891	42.8131,265.469,-28.9624	101.883,260.735,101.363	82.9183,249.172,46.8339	73.6242,251.574,12.3808	69.204,253.151,-7.37698	66.033,253.304,-23.7324	110.121,251.466,103.791	100.252,240.824,51.2552	100.331,244.347,26.691	101.468,247.141,7.71615	102.177,247.916,-7.36727	
4	0	100	3215230961	-58.8004,271.574,68.5614	-0.0462596,-0.998928,-0.00218563	-0.422486,0.021547,-0.906114	24.2473,332.929,385.172	-23.2488,276.403,132.963	-52.1659,270.289,122.924	-52.1659,270.289,122.924	-102.364,263.473,109.211	-128.296,257.761,97.6629	-145.5,253.095,88.9601	-48.7505,284.055,114.944	-89.4973,275.436,56.696	-104.876,274.412,27.5622	-115.236,272.305,7.86655	-123.646,267.318,-8.55335	-41.8441,286.033,107.864	-72.4838,277.498,47.8673	-82.8856,277.297,9.81969	-89.7306,276.277,-16.8988	-94.4757,273.586,-35.9143	-31.3965,283.008,101.382	-50.4003,274.96,44.0131	-58.7689,276.638,6.71173	-63.2458,276.496,-14.4997	-66.4256,274.774,-31.2673	-21.3165,275.054,102.101	-31.2342,269.653,46.8051	-31.5412,272.863,20.4835	-31.5734,273.978,0.397602	-31.5922,273.198,-14.724	
1	0	100	3215240961	67.0586,262.105,-55.6125	-0.116431,-0.980753,0.156756	-0.398267,-0.0984781,-0.911969	205.006,299.247,237.165	102.483,271.988,5.9531	71.7535,268.935,-2.90897	71.7535,268.935,-2.90897	23.6241,260.714,-16.3608	-1.92851,253.117,-24.699	-18.8921,246.98,-30.0092	76.1783,280.876,-12.787	37.5966,266.078,-68.4376	20.6452,262.844,-95.557	9.28234,257.697,-112.796	-0.0117102,250.204,-125.815	83.3325,280.849,-19.6866	54.5536,265.214,-76.6792	45.155,264.939,-111.496	39.1495,263.214,-136.631	34.5,258.514,-154.138	93.802,276.351,-25.267	76.2282,260.854,-79.4336	66.7348,258.047,-113.781	60.8854,254.476,-132.743	56.429,249.352,-146.653	103.1,268.333,-23.0215	94.4295,255.108,-75.3145	94.5039,255.032,-100.264	94.0501,253.165,-118.853	93.1903,249.246,-132.134	
2	0	100	3215240961	-35.3261,246.597,-30.2732	-0.105741,-0.991571,0.0748787	-0.390701,-0.0278173,-0.920098	39.3756,288.176,259.994	-4.65623,252.549,28.8039	-31.1593,249.071,19.4177	-31.1593,249.071,19.4177	-74.081,240.328,6.00044	-96.1389,232.184,-3.33895	-110.877,225.313,-9.6984	-26.4085,260.715,11.2474	-61.9774,250.778,-42.0692	-74.2231,245.03,-66.7344	-82.031,239.189,-82.9134	-88.2488,232.045,-95.2008	-20.0941,261.58,4.7717	-46.4733,251.071,-49.7878	-54.0365,247.994,-81.3786	-58.5964,245.771,-103.941	-61.7207,242.279,-120.149	-10.918,257.889,-0.727043	-26.8337,247.412,-52.5578	-33.4211,245.451,-84.0355	-37.1345,243.651,-101.832	-39.674,240.696,-115.803	-2.56362,250.255,0.605862	-10.1863,241.847,-49.2373	-10.1193,241.468,-71.4973	-9.94389,240.415,-88.4996	-9.73556,237.825,-101.3	
